"frame","x [nm]","y [nm]"
2,5714.23,8006.07
2,643.29,7275.52
2,6948.90,4208.66
2,3849.45,9239.66
2,575.80,605.91
2,9845.29,6677.28
2,7553.44,3337.37
2,5194.97,7393.50
2,1136.17,277.93
2,5427.38,7105.48
2,9486.45,8921.80
2,8176.26,439.44
2,9012.65,3827.79
2,3145.60,7783.39
2,3865.35,686.97
2,683.51,8084.49
2,6289.79,1391.93
2,751.67,9874.43
2,1220.65,6900.44
2,8500.02,6699.95
2,7472.75,4544.60
2,6680.62,9235.64
2,8345.74,4389.52
2,5240.74,2455.83
2,1080.08,1840.75
2,5695.24,8993.20
2,4949.22,1887.47
2,7446.92,6826.53
2,1778.57,4673.50
2,5233.99,9231.32
2,2108.63,9335.72
2,5811.98,4259.81
2,9605.66,3377.57
2,8756.27,3360.87
2,1760.41,50.82
2,1346.68,8821.64
2,3866.76,8290.23
2,825.93,2871.22
2,7126.50,1891.02
2,6147.77,941.23
2,6733.42,2102.40
2,1955.36,1950.78
2,4548.71,8909.64
2,9614.88,6590.43
2,998.41,4552.23
2,6407.61,7888.20
2,6995.50,6000.49
2,2650.27,1770.03
2,8231.60,8988.24
2,5908.41,1079.26
2,8118.19,4085.10
2,4024.13,9222.21
2,2948.29,5953.02
2,4851.65,3000.90
2,9955.76,730.17
2,9999.96,6376.13
2,6887.36,7972.28
2,7881.08,5206.26
2,990.58,2355.16
2,4960.85,9439.03
2,1199.32,7872.05
2,6130.00,4326.95
2,8042.67,4558.83
2,5368.63,300.99
2,7603.07,3433.05
2,6644.06,4093.44
2,152.46,9115.62
2,4082.24,5838.33
2,7319.30,8652.72
2,6340.07,4145.11
2,8406.24,7048.08
2,3763.77,2776.17
2,5692.05,2795.51
2,3044.64,778.95
2,6215.30,6075.92
2,4656.97,6301.51
2,411.33,9774.81
2,7350.94,7107.35
3,6108.40,3099.39
3,5581.70,8211.27
3,3655.55,5281.83
3,3762.95,4345.21
3,2237.05,3106.68
3,4646.03,954.86
3,9093.43,4894.90
3,2564.84,3458.44
3,9453.26,6059.06
3,4192.60,7149.51
3,2991.02,8325.91
3,9463.86,2468.94
3,209.29,6974.65
3,2575.86,3806.32
3,7485.92,845.36
3,2141.94,2457.67
3,9159.24,4805.11
3,8105.63,430.78
3,2200.92,6732.05
3,7445.45,8304.63
3,6647.00,8507.23
3,2936.31,7935.63
3,2732.82,6813.39
3,168.46,1046.21
3,6669.79,3254.58
3,9844.32,2873.87
3,5151.17,5415.38
3,8552.43,18.69
3,7690.67,2786.14
3,8939.46,7048.17
3,5097.88,5160.23
3,8297.82,4196.09
3,6832.45,5017.56
3,8479.34,6955.57
3,1470.33,8204.83
3,9222.42,3117.98
3,7414.26,3347.28
3,3065.67,1780.47
3,5452.70,4215.52
3,7633.87,8093.01
3,4340.13,86.54
3,2808.51,2112.69
3,5945.40,1877.35
3,9584.00,4419.07
3,8966.65,4693.48
3,1820.46,1618.19
3,4153.57,3850.95
3,9794.40,7666.08
3,6813.00,4399.75
3,6625.35,1886.47
3,9050.69,6213.67
3,9334.34,7729.46
3,4296.58,1383.19
3,8427.69,5287.45
3,6271.59,5926.74
3,9469.00,4710.90
3,7144.94,7681.64
3,9537.61,5686.50
3,2151.93,9856.40
3,1536.59,8995.65
3,7265.67,8240.91
3,448.49,1871.56
3,9390.39,7004.50
3,9249.69,3958.85
3,8211.65,5111.71
3,9945.68,1135.74
3,8077.24,9179.32
3,4018.46,1248.22
3,3047.67,8465.70
3,9433.13,593.70
3,2340.54,5231.35
3,8499.82,677.80
3,1442.90,5863.53
3,6208.64,4241.54
3,8013.16,7291.42
3,8249.81,2863.21
3,5457.30,4027.03
3,7757.59,6184.93
3,9930.96,9897.49
3,7993.37,2381.75
3,2445.75,5987.45
3,6982.22,7424.27
3,8874.41,3558.62
3,1674.55,1205.54
3,8750.93,8669.11
3,176.54,2631.65
3,4097.96,9418.51
3,5326.58,4884.84
3,2413.66,5021.19
3,2441.59,6936.68
3,8927.27,2544.96
3,287.69,6046.38
3,3957.99,3052.55
3,5753.37,8344.37
3,1229.48,6520.17
3,7506.94,6352.46
3,491.27,4487.61
3,4060.74,5239.61
3,826.83,1454.97
3,1950.73,830.57
4,8909.80,3338.62
4,8015.96,4562.80
4,292.61,9644.55
4,5628.68,3938.43
4,7937.68,4184.78
4,8845.08,8058.00
4,8205.49,1536.12
4,7203.56,1653.15
4,8103.96,2449.08
4,3099.45,4265.68
4,4322.63,4018.98
4,3970.84,8539.14
4,8320.80,3963.61
4,2594.95,5843.80
4,2138.38,5396.49
4,8715.90,4893.66
4,5654.36,2229.36
4,4228.99,5432.95
4,9452.10,8357.24
4,6669.24,2748.02
4,6169.19,2916.61
4,1519.46,4412.61
4,7414.55,6590.97
4,4961.96,8604.81
4,6744.75,7585.91
4,3051.26,8499.61
4,7117.28,1954.00
4,5357.07,4016.80
4,3776.35,2245.86
4,8495.32,4222.43
4,7513.52,4197.40
4,7266.95,5590.34
4,2894.75,1330.62
4,3238.79,4556.18
4,7785.74,9319.96
4,2993.62,5689.25
4,7174.70,9574.31
4,560.33,3215.24
4,8927.55,6899.71
4,9547.44,1662.44
4,9786.17,6284.59
4,450.20,5718.35
4,3957.36,4574.46
4,584.52,6412.11
4,6712.21,4504.68
4,9866.58,3836.83
4,6373.68,1018.83
4,3535.51,880.58
4,581.15,2152.86
4,2227.54,4762.25
4,7137.89,1715.68
4,3261.34,2761.50
4,6662.49,3421.33
4,4202.17,3417.63
4,4338.02,9524.71
4,1285.07,9841.27
4,6129.35,1972.71
4,8093.10,6992.45
4,8739.66,1528.89
4,6688.40,9343.61
4,9566.02,2522.04
4,6699.62,4432.93
4,7975.81,4624.70
4,4067.55,7857.08
4,4101.90,2140.93
4,9485.48,3283.58
4,1649.17,5864.22
4,4243.19,6126.94
4,7499.86,7455.11
4,4654.68,906.71
4,548.17,3771.23
4,7075.05,4546.53
4,3497.94,870.00
4,8445.54,769.22
4,8069.48,5115.29
4,8709.02,5540.17
4,7114.18,3236.06
4,5019.55,5800.87
4,131.40,6454.33
4,7221.31,9670.92
4,5820.21,963.84
4,7201.58,7950.53
4,5964.41,972.36
4,6104.09,7177.75
4,2499.35,368.60
4,1886.02,1496.16
4,8096.76,3555.04
4,6293.17,8781.35
4,6833.98,5712.13
4,2210.85,8012.60
4,7362.78,2414.34
4,4811.08,4143.04
4,8838.99,7185.04
4,6784.62,3231.82
4,3075.33,4483.36
4,1118.73,9106.16
4,2772.45,249.88
4,3534.28,1061.56
4,1300.11,724.00
4,9979.23,3891.40
5,5881.04,6136.01
5,5412.36,1262.69
5,6551.01,6711.54
5,7046.06,9628.81
5,5768.69,6339.09
5,1475.20,5043.51
5,5723.60,7466.42
5,1811.45,5968.39
5,915.17,7886.89
5,2929.48,2500.38
5,5458.17,9244.53
5,5465.43,1521.82
5,7100.07,7422.61
5,9095.68,7844.80
5,3448.79,4231.71
5,8257.90,8343.93
5,6086.50,1123.71
5,8011.35,2262.20
5,5215.42,3496.29
5,9550.72,230.46
5,3760.43,350.67
5,3696.96,4229.88
5,2344.04,7117.55
5,4878.95,9500.75
5,8825.93,390.72
5,9394.72,5535.87
5,9178.47,5322.45
5,8534.89,6180.47
5,8264.30,2094.14
5,1265.06,8670.70
5,9609.26,3175.87
5,7651.10,1073.80
5,4880.72,6501.74
5,3210.99,6704.35
5,3174.56,6215.02
5,5354.48,9098.97
5,2937.73,6623.56
5,4958.80,2682.60
5,4928.19,5277.72
5,8819.67,5240.01
5,8538.79,8448.18
5,8134.02,2549.94
5,6535.88,6155.16
5,3234.89,8934.74
5,9438.46,9034.12
5,7183.82,7058.57
5,6274.85,5289.76
5,7351.60,389.56
5,5001.71,746.94
5,8362.77,5888.49
5,6641.65,5615.76
5,1601.88,9351.01
5,4171.00,7200.27
5,7851.15,3205.08
5,9696.34,6050.64
5,7041.00,8502.38
5,7278.83,6048.95
5,2524.93,9467.40
5,5781.69,4416.40
5,7300.19,5837.09
5,182.67,3243.37
5,6579.54,2885.81
5,8866.92,2887.83
5,4931.90,7294.92
5,8427.25,9355.26
5,6841.35,6245.50
5,7091.43,8805.35
5,53.00,8240.48
5,8462.98,8636.27
5,8904.58,8318.34
5,2824.52,4784.83
5,2118.40,9537.94
5,2245.29,786.76
5,2583.46,7123.68
5,8483.28,8589.76
5,8556.61,9002.31
5,8942.74,6673.15
5,9337.24,2539.73
5,1414.68,9794.75
5,2171.84,1610.88
5,4260.44,3095.10
5,2334.84,3832.97
5,3491.38,1476.12
5,7609.58,7527.35
5,4395.35,4326.85
5,7337.30,9707.20
5,8922.83,9226.96
5,1478.52,7135.32
5,593.97,9085.53
5,5368.52,3812.71
5,5071.61,6299.90
5,6625.08,3372.78
5,2841.45,9962.04
5,7488.08,8960.15
5,6836.26,5118.55
5,5210.59,1189.38
5,8192.23,5910.87
5,5373.40,3365.17
5,665.11,7081.52
5,1776.01,9117.27
6,9294.55,3503.28
6,8139.02,2583.76
6,7129.78,9776.93
6,4242.70,1046.54
6,2936.42,7817.15
6,3099.11,4038.61
6,3778.24,2177.64
6,5623.61,7840.14
6,2654.67,9220.65
6,4844.08,4564.11
6,8109.71,5363.49
6,1238.96,4966.37
6,3323.01,4735.85
6,5794.89,3745.80
6,7127.15,2094.57
6,9726.31,7720.79
6,8339.59,3175.97
6,1742.05,7506.22
6,1454.11,2114.88
6,4722.11,1383.26
6,2760.33,9658.96
6,2408.69,3679.17
6,7330.70,9799.03
6,1399.81,5210.83
6,127.37,3413.07
6,6293.50,821.93
6,1127.72,4559.80
6,9411.99,9030.30
6,6134.05,3582.96
6,1856.56,7108.04
6,1648.14,5473.00
6,4582.98,8012.01
6,6385.85,7466.48
6,9289.34,1013.78
6,7300.78,1477.35
6,7889.33,7157.30
6,3176.46,7051.85
6,1375.48,1105.43
6,7590.20,4982.46
6,5138.51,4482.07
6,8837.06,2919.93
6,5302.59,5986.24
6,5361.32,4804.04
6,3054.33,720.72
6,7212.43,5628.57
6,859.38,1452.14
6,5567.97,4183.35
6,8252.17,5726.05
6,5843.32,1299.22
6,3098.49,9909.06
6,9924.57,4709.38
6,5862.54,4181.77
6,5463.62,3701.92
6,7276.78,7842.93
6,470.06,3094.61
6,2225.13,2654.61
6,6211.27,9893.02
6,4169.26,8238.88
6,8138.46,9898.01
6,4268.03,9138.21
6,3173.88,7067.22
6,2580.88,7985.27
6,3373.85,5172.61
6,4065.91,8315.97
6,1224.84,9216.65
6,6599.82,57.31
6,4639.49,1930.44
6,1873.95,5265.24
6,9353.63,4987.77
6,6714.77,5814.79
6,645.72,8555.46
6,7279.22,9571.38
6,3421.38,26.57
6,1205.00,6562.01
6,2943.50,9087.69
6,9816.64,5287.06
6,2933.96,9710.74
6,2772.04,2876.17
6,5051.37,7226.80
6,2803.21,8920.41
6,1790.64,2511.74
6,3246.84,4117.49
6,9967.17,3662.02
6,2545.96,8068.66
6,9798.22,2051.05
6,2422.20,2120.28
6,6797.35,4902.40
6,9016.92,9671.69
6,5609.36,186.43
6,5149.04,9057.17
6,1410.75,8885.94
6,139.18,7580.47
6,4962.01,6694.40
6,4613.41,8293.74
6,494.89,1175.47
6,4029.05,2208.22
6,8159.29,5541.12
6,3267.89,856.48
6,9382.51,8240.82
6,2061.19,5123.52
7,1953.80,3386.31
7,5604.23,7322.24
7,8519.77,8198.63
7,5058.84,8723.93
7,6275.07,3124.45
7,3356.86,9088.73
7,7028.44,4408.26
7,6190.45,9894.89
7,7516.16,292.49
7,7411.17,6215.33
7,3976.81,8620.20
7,1699.19,8835.86
7,7674.70,392.66
7,3443.49,6091.02
7,5913.09,7526.27
7,470.83,8633.92
7,5305.61,949.70
7,3985.25,1438.01
7,4109.49,9031.99
7,7651.99,294.11
7,1027.45,6637.34
7,9216.64,2291.89
7,9661.52,7726.87
7,8981.79,5413.17
7,5068.59,7288.31
7,1781.91,2426.96
7,9944.18,1681.75
7,7816.03,908.15
7,2085.54,98.12
7,5010.26,5757.70
7,6113.72,6530.93
7,5672.03,5883.97
7,7093.86,6892.61
7,1786.05,73.95
7,451.30,5764.38
7,1279.18,8699.45
7,5952.89,8165.91
7,86.19,2956.73
7,1275.14,1039.34
7,3658.14,8811.98
7,4115.45,4763.79
7,5456.26,3588.49
7,5286.42,9530.79
7,8182.03,2688.78
7,6256.61,1244.71
7,8141.85,1398.36
7,9083.14,1774.54
7,3582.36,453.41
7,8435.55,778.64
7,6639.32,9766.01
7,6573.03,4181.64
7,7641.73,3882.13
7,8974.98,1346.86
7,4341.67,6068.85
7,281.37,8565.31
7,3524.63,5426.51
7,267.52,8985.58
7,7269.85,5703.03
7,6345.46,3943.55
7,8220.54,1435.83
7,3547.58,2904.20
7,2955.14,8616.96
7,4521.96,2809.61
7,9316.66,7104.93
7,8184.37,2851.90
7,8780.21,6026.13
7,8918.93,3539.02
7,3316.65,88.99
7,5365.35,1542.28
7,4453.87,848.48
7,3376.68,2084.83
7,1840.58,9164.77
7,3598.49,2193.08
7,5372.93,420.40
7,4367.03,1742.80
7,3653.16,2696.34
7,5945.91,6856.86
7,9781.54,1906.84
7,145.31,4870.63
7,1184.32,9929.59
7,6755.69,5284.20
7,4632.50,5040.48
7,172.84,7099.42
7,1344.12,7713.98
7,9231.54,1552.82
7,7145.31,267.57
7,1880.35,3570.25
7,447.00,7381.95
7,4414.91,5319.46
7,5519.25,9822.42
7,6962.74,9285.69
7,9470.72,8886.50
7,3211.09,4215.20
7,9380.97,3912.03
7,6386.23,4254.64
7,8559.07,8766.16
7,7255.27,3256.21
7,5763.62,4816.06
7,2806.01,9174.22
8,1714.35,8473.85
8,6593.04,320.75
8,1940.33,5336.37
8,4262.42,2142.35
8,8745.43,5580.85
8,7562.71,3931.54
8,5792.98,6135.14
8,6375.14,4552.56
8,4064.63,9787.02
8,8238.57,729.16
8,2855.67,7296.27
8,2058.85,5479.84
8,1618.32,2137.06
8,1291.42,2574.18
8,6511.59,5576.04
8,8624.03,4430.78
8,7280.29,351.68
8,5985.69,700.02
8,8060.97,5162.83
8,701.38,1318.01
8,2166.23,8934.26
8,9762.97,3380.99
8,1817.32,7103.79
8,4270.07,4175.09
8,5845.69,4047.72
8,6101.13,3239.73
8,9939.58,4167.47
8,3223.99,3416.29
8,7656.11,3576.03
8,539.01,7420.15
8,9601.78,2927.36
8,3461.84,1167.65
8,3550.08,3792.61
8,4537.91,2361.73
8,105.32,7417.72
8,5360.86,8125.72
8,2109.32,7382.15
8,9257.88,6110.44
8,6190.09,2207.04
8,5344.29,1925.70
8,5515.29,9865.12
8,2389.09,8380.66
8,1968.83,9938.56
8,8767.18,5802.04
8,7468.56,2418.50
8,4383.99,8917.49
8,7445.18,4122.44
8,8255.26,13.69
8,9735.08,782.36
8,3162.23,5857.99
8,9058.40,1798.63
8,9559.82,5714.36
8,228.74,2568.08
8,1248.00,3058.42
8,9487.30,8860.09
8,174.16,5923.69
8,4611.50,1256.81
8,4767.18,7555.90
8,8674.75,8567.96
8,7688.11,8552.48
8,6696.61,185.32
8,7573.62,7271.56
8,6252.25,1493.60
8,9351.86,6247.58
8,3794.38,9625.25
8,5585.99,4679.13
8,2335.69,210.93
8,1235.31,5128.30
8,4480.26,1069.47
8,1051.53,7604.96
8,4170.97,7711.36
8,8145.88,18.88
8,1675.80,6744.18
8,2013.83,2144.73
8,562.57,3346.80
8,2820.45,9420.78
8,2763.00,8446.11
8,5868.30,9251.24
8,350.88,736.37
8,4605.38,6225.67
8,6709.66,4606.97
8,860.59,1608.35
8,1504.35,7923.95
8,6542.35,78.69
8,5213.78,8422.11
8,5982.14,7025.00
8,1689.11,8966.32
8,3982.44,7103.56
8,91.25,1104.68
8,6493.65,3956.14
8,4465.79,3388.94
8,8937.73,990.00
8,2339.96,6183.28
8,3733.43,6768.73
8,3720.46,235.81
8,8023.29,2045.81
8,9782.09,9532.23
8,2373.54,5160.21
8,5123.32,6374.14
8,7096.84,6963.19
9,6935.21,8002.31
9,9241.21,6371.19
9,5103.51,6748.21
9,8112.21,7605.12
9,3041.62,3377.89
9,1626.08,9735.14
9,2644.48,9704.48
9,6955.10,5379.34
9,8081.23,8244.75
9,1983.54,7094.38
9,4148.19,254.19
9,3496.42,6425.17
9,5340.94,8816.57
9,5417.71,32.49
9,5375.93,5882.43
9,968.38,7745.64
9,4542.53,2982.03
9,6287.31,6859.12
9,8652.62,3047.20
9,1002.66,384.96
9,5165.37,4972.27
9,4951.36,5510.50
9,4603.17,5718.85
9,8323.56,2601.27
9,6869.28,2544.07
9,5888.10,9788.51
9,5118.93,8955.08
9,5405.87,2053.81
9,4763.43,676.69
9,684.60,7492.34
9,7432.31,8690.59
9,2854.32,3517.23
9,6856.41,7716.37
9,5836.00,9743.32
9,8717.79,810.53
9,473.89,1321.40
9,9967.58,8264.55
9,8956.32,6338.92
9,2869.76,7296.52
9,5000.41,9459.49
9,904.30,8412.45
9,1006.30,7218.09
9,7994.38,1330.38
9,4014.82,3030.97
9,5082.89,1728.02
9,4832.08,2783.38
9,5689.10,9925.15
9,1902.51,8940.54
9,6922.89,3952.60
9,3278.28,7505.23
9,3888.18,6436.06
9,1433.85,8257.23
9,6475.15,8696.94
9,3134.55,6907.98
9,8148.42,3678.10
9,1070.92,6977.09
9,7765.16,7253.37
9,8806.53,9272.18
9,5818.49,6043.28
9,8806.85,2182.68
9,6555.09,6104.92
9,946.15,5574.58
9,2355.99,2378.64
9,8007.78,9399.37
9,8450.54,6988.00
9,1342.91,811.52
9,3188.78,2314.93
9,3663.96,6521.94
9,2863.70,6155.83
9,4926.94,9401.99
9,5560.21,1311.02
9,608.48,9530.28
9,2251.18,7796.43
9,248.43,290.71
9,9726.79,933.08
9,8002.82,4651.69
9,2573.27,3836.62
9,8092.15,7819.55
9,2667.33,5330.47
9,8250.39,8837.21
9,9510.53,4343.86
9,8155.83,7212.15
9,6301.61,1411.08
9,3278.32,268.08
9,7536.53,5467.85
9,5462.38,3213.36
9,2832.13,7476.12
9,5752.49,3175.24
9,155.64,5964.74
9,4076.71,5248.31
9,2581.42,679.98
9,1792.63,7577.95
9,6832.33,8550.52
9,5785.92,7074.51
9,8744.63,6495.45
9,9059.36,961.55
9,7017.68,4572.36
9,9662.79,1710.87
9,1668.59,2047.60
9,488.25,7373.26
10,430.45,2830.28
10,3582.69,2229.85
10,1646.76,6512.29
10,9521.26,8353.86
10,1598.52,6978.14
10,9517.06,7095.68
10,2861.28,4705.23
10,8200.37,1773.93
10,9853.49,5238.49
10,9096.54,1369.31
10,6310.87,7473.91
10,7942.83,423.76
10,9835.56,6802.09
10,748.98,2383.27
10,1809.48,1051.79
10,4713.67,2315.46
10,2558.05,9713.34
10,2216.42,5831.59
10,406.35,534.41
10,1729.54,7390.05
10,6113.19,3248.51
10,1897.25,5679.81
10,3131.31,9476.91
10,8491.15,397.68
10,7521.45,9604.31
10,8774.94,8976.49
10,4836.47,3543.59
10,2936.66,234.22
10,506.07,8132.02
10,3716.28,9060.21
10,2698.57,1800.77
10,484.92,1402.77
10,2982.77,9157.33
10,4868.27,202.10
10,4095.19,2031.86
10,5854.29,7187.60
10,8988.45,1264.74
10,3509.10,6816.46
10,3503.91,6922.34
10,6338.46,1566.87
10,645.62,8472.31
10,2658.47,6120.85
10,872.62,6755.25
10,156.34,6581.94
10,2092.57,3253.67
10,2464.76,7000.31
10,2261.99,3029.64
10,1613.77,7835.25
10,7034.88,6358.36
10,5273.88,4856.71
10,7127.29,7026.58
10,6630.68,8954.60
10,9261.44,7059.51
10,3871.66,693.73
10,1302.38,391.64
10,502.14,2705.60
10,8735.28,3417.36
10,6227.88,4856.88
10,9277.92,7536.75
10,6937.04,5418.52
10,6882.33,1569.75
10,8480.69,5440.76
10,3810.00,3736.93
10,2093.20,3641.42
10,173.47,8493.88
10,9584.00,8203.54
10,5044.58,1298.33
10,1974.90,1059.39
10,4401.74,4408.74
10,1117.44,9558.57
10,764.07,2257.14
10,2116.01,5177.62
10,3445.61,6280.95
10,7684.57,2865.06
10,5991.20,9326.33
10,3240.12,3674.21
10,5004.32,3099.52
10,8557.80,527.31
10,814.56,8542.47
10,3901.73,1227.71
10,6539.01,8321.66
10,2410.18,2893.69
10,4145.38,2945.49
10,9046.33,8894.33
10,6471.68,5669.78
10,7371.18,8249.40
10,2221.43,8605.17
10,5040.62,2007.64
10,8879.95,1041.73
10,3087.52,7803.62
10,575.35,234.67
10,2699.34,5421.06
10,5886.79,4910.67
10,6802.27,3097.03
10,6469.90,3425.72
10,7308.83,7102.96
10,5792.12,6715.55
10,525.59,8295.58
10,7991.41,5727.85
11,7497.19,5732.90
11,8943.26,4353.02
11,8485.63,4847.82
11,3359.88,9980.78
11,1309.73,2148.75
11,5411.78,3325.04
11,6897.37,2929.00
11,2404.52,614.51
11,2384.70,6253.82
11,7747.02,6896.62
11,8328.47,8818.26
11,8383.08,830.90
11,5481.51,5286.06
11,805.29,4381.39
11,2310.31,5344.92
11,3086.32,8677.67
11,9323.83,7989.32
11,1826.25,6202.83
11,133.02,8126.04
11,933.58,134.22
11,8747.17,9603.58
11,3164.70,717.43
11,827.95,3667.20
11,6936.14,529.18
11,7710.95,7030.01
11,6926.35,7594.76
11,6700.10,9354.23
11,1729.25,2054.01
11,4464.77,3161.70
11,350.54,4438.54
11,5387.32,826.05
11,9320.34,2196.52
11,3000.88,3309.26
11,7217.71,5448.95
11,316.06,8648.47
11,7314.36,1551.78
11,1864.46,6476.03
11,2744.11,3598.19
11,3277.89,2501.91
11,7351.13,5640.27
11,1115.84,3706.50
11,3800.03,7642.83
11,1950.50,4972.71
11,5944.05,115.99
11,4778.43,8801.24
11,5166.56,5553.70
11,8315.57,630.46
11,4344.02,1742.90
11,5676.07,5568.11
11,3303.85,4251.65
11,2350.67,4159.85
11,5756.05,1319.53
11,918.37,3101.56
11,3954.64,1113.00
11,3955.57,5135.54
11,7121.59,3213.86
11,6945.22,782.28
11,1450.39,1135.92
11,6675.48,1711.79
11,3167.37,8601.87
11,8195.93,8878.53
11,9894.47,1722.18
11,7227.33,1417.90
11,4923.70,6928.78
11,4684.47,4439.03
11,3452.28,1389.81
11,770.26,2919.85
11,840.41,2805.96
11,7596.69,7413.89
11,5414.15,3232.23
11,8112.16,5813.99
11,6103.87,6292.85
11,1621.23,8208.00
11,3788.92,5437.28
11,3885.50,3343.12
11,4107.70,8516.23
11,9698.16,4092.63
11,1689.84,2216.45
11,8539.28,1016.66
11,3399.08,3318.51
11,5964.43,1023.77
11,8251.67,4034.13
11,6634.50,7900.33
11,4948.18,6643.20
11,5765.70,646.09
11,2742.59,2518.88
11,993.98,3232.15
11,6752.59,1741.15
11,1154.82,5855.50
11,4286.67,4950.79
11,5552.10,5155.35
11,2958.50,1378.59
11,1930.74,4300.21
11,9299.74,714.81
11,6651.97,6991.52
11,4405.83,5573.41
11,7642.59,7074.08
11,3340.68,8660.70
11,23.12,7034.64
12,7756.55,8717.07
12,9490.78,3004.08
12,1696.75,9663.57
12,5954.95,3063.57
12,3315.00,4300.55
12,8574.24,7740.33
12,6984.01,2045.10
12,6585.20,6539.75
12,2248.70,3363.34
12,9630.17,3501.51
12,1742.31,9586.96
12,4989.27,4454.37
12,4343.12,4564.01
12,4692.76,8336.05
12,5200.57,3742.91
12,9318.13,263.11
12,3822.73,2131.39
12,7774.46,1585.81
12,1330.59,8450.47
12,984.11,322.55
12,4695.86,9624.14
12,2259.04,3414.42
12,3787.48,5286.91
12,2869.49,5967.92
12,4142.87,4598.60
12,3309.53,5841.38
12,9882.48,5708.72
12,4607.43,7510.80
12,6315.87,3256.67
12,8656.21,9128.91
12,4159.64,1913.17
12,2252.94,315.92
12,9674.97,9227.23
12,1881.25,5341.88
12,3076.56,968.13
12,4330.01,6964.11
12,567.86,2863.33
12,6524.86,6112.12
12,6158.31,170.07
12,1544.95,4700.33
12,8993.89,7803.77
12,5658.11,4971.25
12,253.49,6449.35
12,8000.42,7843.99
12,808.20,7356.94
12,9879.26,4743.23
12,2253.06,3286.62
12,3761.37,8087.49
12,1560.86,6030.44
12,9423.19,9293.07
12,3080.47,5622.18
12,1854.19,2919.88
12,151.09,850.57
12,364.53,1753.49
12,6941.72,7408.79
12,1504.51,4968.21
12,114.04,30.52
12,3351.21,9995.71
12,701.96,3557.80
12,8538.10,5003.13
12,4181.25,4478.82
12,2773.25,2247.65
12,1144.13,3416.93
12,295.72,655.86
12,9573.70,1169.43
12,2051.89,2390.29
12,3875.17,6471.50
12,8941.65,3626.46
12,2932.27,2623.05
12,7752.35,1089.32
12,2335.21,6019.13
12,4201.10,8218.75
12,7024.47,8591.04
12,8462.86,6380.10
12,1873.41,9736.60
12,2554.71,9482.03
12,3141.47,9205.43
12,1224.57,6091.02
12,6257.09,3450.47
12,3874.07,4719.50
12,5941.57,923.32
12,8351.12,7644.01
12,1263.87,2873.56
12,8817.04,7213.33
12,6549.12,5438.64
12,5663.72,391.84
12,3532.84,7201.85
12,4087.28,8697.29
